General,number_of_battles,WAR,aWAR
'Abd Allah II ibn 'Ali 'Abd ash-Shakur,1,-1.0484331566698821,-1.0484331566698821
'Abd Allah ibn Rawahah,1,-1.0493829312482097,-1.0493829312482097
'Amr ibn al-'As,3,2.1906552328293807,0.7302184109431269
12th Infantry Division (Pakistan),1,0.021404420747438896,0.021404420747438896
1st Belorussian Front,1,0.16035144992993067,0.16035144992993067
1st Infantry Division (United States),1,0.9199179237675209,0.9199179237675209
1st Panzer Army,1,-1.1117306793090453,-1.1117306793090453
1st Ukrainian Front,2,1.2701609921568493,0.6350804960784247
21st Army Group,1,0.9515662103580564,0.9515662103580564
2nd Belorussian Front,1,0.16035144992993067,0.16035144992993067
30th Infantry Division (United States),1,0.9199179237675209,0.9199179237675209
5th Panzer Army,1,-1.0484331566698821,-1.0484331566698821
6th Army (Wehrmacht),1,0.9262476443828341,0.9262476443828341
6th Panzer Army,1,-1.0484331566698821,-1.0484331566698821
7th Army (Wehrmacht),1,-1.0484331566698821,-1.0484331566698821
7th Infantry Division (Pakistan),1,0.021404420747438896,0.021404420747438896
A. P. Hill,7,-2.2995628073063576,-0.3285089724723368
A.J. Drake,1,-1.0485773056568073,-1.0485773056568073
Aaron S. Merrill,3,2.841983042531658,0.9473276808438861
Abalkhail,1,-1.0522313055251007,-1.0522313055251007
Abbas Mirza,2,-1.8777385719816573,-0.9388692859908286
Abbas al-Musawi,1,-0.13377386757579596,-0.13377386757579596
Abbas ibn Ali,1,-1.0483986596925285,-1.0483986596925285
Abbas ibn Ziyad,1,0.9484016665364305,0.9484016665364305
Abd Allah ibn Abbas,1,0.9452368062287739,0.9452368062287739
Abd Allah ibn al-Zubayr,1,-1.038938892232943,-1.038938892232943
Abd al-Aziz ibn Mutib,4,-2.2130395405003567,-0.5532598851250892
Abd al-Baqi Yazdi,1,-1.0294443113099732,-1.0294443113099732
Abd al-Razzaq Maymandi,1,-1.064257774694196,-1.064257774694196
Abd ar-Rahman ibn Rabiah,1,-1.0484331566698821,-1.0484331566698821
Abd el-Krim,1,0.9506170687517902,0.9506170687517902
Abdallah al-Battal,1,-1.054763193771226,-1.054763193771226
Abdallah al-Ghalib,1,0.9515662103580564,0.9515662103580564
Abdallah ibn Ali,1,0.940489515767289,0.940489515767289
Abdallah ibn Buluggin,1,0.951566843330118,0.951566843330118
Abdallahi ibn Muhammad,1,-1.0319761995560983,-1.0319761995560983
Abdel Hakim Amer,2,-1.9419532690754167,-0.9709766345377083
Abdel Rahman Abdel Hamid,1,-1.0474840150636158,-1.0474840150636158
Abdelhakim Belhadj,1,0.9490346385979619,0.9490346385979619
Abdelwahid Aboud Mackaye,1,-1.049066445217444,-1.049066445217444
Abdi Hasan Awale Qeybdiid,1,0.95172476985947,0.95172476985947
Abdihakim Mohamoud Haji-Faqi,1,0.9573582212070988,0.9573582212070988
Abdikarim Yusuf Adam,1,0.9573582212070988,0.9573582212070988
Abdrabbuh Mansur Hadi,1,-0.04843378964194358,-0.04843378964194358
Abdul Ali Malik,2,-1.9813283005993787,-0.9906641502996894
Abdul Aziz al-Hakim,1,-0.21300328752288314,-0.21300328752288314
Abdul Fatah Younis,6,-3.297168557045926,-0.5495280928409877
Abdul Ghani Baradar,1,0.9517722427640849,0.9517722427640849
Abdul Hamid II,1,0.908050782329653,0.908050782329653
Abdul Hamid Khan (general),1,-0.932916071926446,-0.932916071926446
Abdul Haris Nasution,1,-1.0484337896419436,-1.0484337896419436
Abdul Kabir,1,0.9517722427640849,0.9517722427640849
Abdul Motaleb Malik,1,-0.932916071926446,-0.932916071926446
Abdul Munim Riad,1,-0.9884656051492027,-0.9884656051492027
Abdul Munim Wassel,1,0.9899948318080231,0.9899948318080231
Abdul Qassim,1,-1.0471675290328502,-1.0471675290328502
Abdul Qayyum Zakir,1,-1.0484331566698821,-1.0484331566698821
Abdul Rahim Khan,1,-0.932916071926446,-0.932916071926446
Abdul Rahman Al Ghafiqi,1,-1.0413125374636854,-1.0413125374636854
Abdul Rahman Arif,1,-0.9884656051492027,-0.9884656051492027
Abdul Rahman Ghassemlou,1,-0.03223747927035228,-0.03223747927035228
Abdul Rahman Hassan Azzam,1,-1.029824094546892,-1.029824094546892
Abdul Rashid Dostum,1,0.9515662103580564,0.9515662103580564
Abdul-Rahman Mustaghni,1,-0.04833852734668312,-0.04833852734668312
Abdul-Rahman ibn Abi Bakr,2,1.9023418386112603,0.9511709193056301
Abdulla Kurd,1,-1.0470092860174673,-1.0470092860174673
Abdullah I of Jordan,1,-1.029824094546892,-1.029824094546892
Abdullah Mohamed Fadil,1,-1.023684265550038,-1.023684265550038
Abdullah al-Janabi,2,-0.09450912538262157,-0.047254562691310786
Abdullah bin Saud,2,-2.0933855999734035,-1.0466927999867017
Abdullahi Ahmed Irro,1,-1.023684265550038,-1.023684265550038
Abdullahi Yusuf Ahmed,1,-1.023684265550038,-1.023684265550038
Abdulrahman Aare,1,-1.023684265550038,-1.023684265550038
Abdulrahman Said Dhegaweyne,1,0.95172476985947,0.95172476985947
Abe Sadamasa,1,-1.0525477915558665,-1.0525477915558665
Abe no Hirafu,1,-0.9200750591481108,-0.9200750591481108
Abel Douay,1,-1.046338976072903,-1.046338976072903
