Battle Name,Description
Battle of 73 Easting,"The Battle of 73 Easting was fought on 26 February 1991, during the Gulf War, between Coalition armored forces (US VII Corps and UK 1st Armoured Division) and Iraqi armored forces (Republican Guard and Tawakalna Division). It was named for a UTM north–south coordinate line (an ""Easting"", measured in kilometers and readable on GPS receivers) that was used as a phase line by Coalition forces to measure their progress through the desert. The battle was later described by Lt. John Mecca, a participant, as ""the last great tank battle of the 20th century."" This battle took place several hours after another, smaller, tank battle at Al Busayyah.
The main U.S. unit in the battle was the 2nd Armored Cavalry Regiment (2nd ACR), a 4,500 man reconnaissance and security element assigned to VII Corps. It consisted of three ground squadrons (1st, 2nd and 3rd), an attack helicopter squadron (4th), and a support squadron. Each ground squadron was made up of three cavalry troops, a tank company, a self-propelled howitzer battery, and a headquarters troop. Each troop comprised 120 soldiers, 12–13 M3 Bradley fighting vehicles and nine M1A1 Abrams main battle tanks. Task Force 1-41 Infantry breached the berm on the borders between Saudi Arabia and Iraq which was the initial Iraqi defensive position and performed reconnaissance and counter reconnaissance missions before the 2nd ACR's actions. This generally included destroying or repelling the Iraqis' reconnaissance elements and denying their commander any observation of friendly forces. The corps' main body consisted of the American 2nd Armored Division (Forward), 1st Armored Division (1st AD), 3rd Armored Division (3rd AD), 1st Infantry Division (1st ID), and the British 1st Armoured Division (1 AD).
The job of the 2nd ACR was to cross the border and advance east as a forward scouting element, led by cavalry scouts in lightly armored M3A1 Bradleys with highly advanced thermals to detect enemy positions. Following closely behind were M1A1 Abrams tanks covering them from the rear, ready  to move forward and engage the enemy. Originally advancing ahead of the 3rd Armored Division until late on 25 February, they shifted to the east and ahead of the advancing 1st Infantry Division as it moved north from its initial objectives. The regiment's mission was to strip away enemy security forces, clear the way of significant defenses, and locate the Republican Guard's defensive positions so they could be engaged by the full weight of the armored forces and artillery of the 1st Infantry Division.
On the night of 23/24 February, in accordance with General Norman Schwarzkopf's plan for the ground assault called ""Operation Desert Sabre"", VII Corps raced east from Saudi Arabia into Iraq in a wide, sweeping maneuver later described by Schwarzkopf as a ""Hail Mary."" The Corps had two goals: to cut off Iraqi retreat from Kuwait, and to destroy five elite Republican Guard divisions near the Iraq–Kuwait border that might attack the Arab and Marine units moving into Kuwait to the south. Initial Iraqi resistance was light and scattered after the breach, and the 2nd ACR fought only minor engagements until 25 February.
The primary battle was conducted by 2nd ACR's three squadrons of about 4,000 soldiers, along with the 1st Infantry Division's two leading brigades (2nd Armored Division (FWD)), which attacked and destroyed the Iraqi 18th Mechanized Brigade and 37th Armored Brigade of the Tawakalna Division, each consisting of between 2,500 and 3,000 personnel."
Battle of Aachen,"The Battle of Aachen was a battle of World War II, fought by American and German forces in and around Aachen, Germany, between 12 September and 21 October 1944. The city had been incorporated into the Siegfried Line, the main defensive network on Germany's western border; the Allies had hoped to capture it quickly and advance into the industrialized Ruhr Basin. Although most of Aachen's civilian population was evacuated before the battle began, much of the city was destroyed and both sides suffered heavy losses. 
It was one of the largest urban battles fought by U.S. forces in World War II, and is considered one of the toughest urban encounters in the entire war. As a result, Aachen became the first city on internationally recognized German soil to be captured by the Allies (several cities in German annexed territory in the East had already been liberated earlier that year during Operation Bagration, with the first towns in East Prussia being liberated the week after Aachen fell). Despite the battle ending with a German surrender, their tenacious defense significantly disrupted Allied plans for the advance into Germany."
Battle of Abbeville,"The Battle of Abbeville took place from 27 May to 4 June 1940, near Abbeville during the Battle of France in the Second World War. On 20 May, the 2nd Panzer Division advanced 56 mi (90 km) to Abbeville on the English Channel, overran the 25th Infantry Brigade of the 50th (Northumbrian) Infantry Division and captured the town at 8:30 p.m. Only a few British survivors managed to retreat to the south bank of the Somme and at 2:00 a.m. on 21 May, the III Battalion, Rifle Regiment 2 reached the coast, west of Noyelles-sur-Mer.
The 1st Armoured Division (Major-General Roger Evans) arrived in France from 15 May without artillery, short of an armoured regiment and the infantry of the 1st Support Group, which had been diverted to Calais. From 27 May to 4 June, attacks by the Franco-British force south of the Abbeville bridgehead, held by the 2nd Panzer Division, then the 57th Infantry Division, recaptured about half of the area; the Allied forces lost many of their tanks and the Germans much of their infantry, some units running back over the River Somme. On 5 June, the divisions of the German 4th Army attacked out of the bridgeheads south of the Somme and pushed back the Franco-British divisions opposite, which had been much depleted by their counter-attacks, to the Bresle with many casualties.
In 1953, the British official historian, Lionel Ellis, wrote that the Allies lacked battlefield co-ordination, which contributed to the Allied failure to defeat the Germans and magnified the cost of lack of preparation and underestimation of the German defences south of the Somme. In 2001, Caddick-Adams also wrote of the chronic lack of battlefield communication within and between the British and French divisions, which was caused by a shortage of radios and led to elementary and costly tactical errors. The lack of communication continued after reinforcement by the 51st (Highland) Infantry Division (Major-General Victor Fortune) and French armoured and infantry divisions. The Germans had committed substantial forces to the bridgeheads, despite the operations in the north, that culminated in the Dunkirk evacuation (26 May – 3 June). The Somme crossings at Abbeville and elsewhere were still available on 5 June, for Fall Rot (Case Red), the final German offensive, which brought about the defeat of France."
Battle of Abensberg,"The Battle of Abensberg took place on 20 April 1809 between a Franco-German force under the command of Emperor Napoleon I of France and a reinforced Austrian corps led by Feldmarschall-Leutnant Archduke Louis of Austria. As the day wore on, Feldmarschall-Leutnant Johann von Hiller arrived with reinforcements to take command of the three corps that formed the Austrian left wing. The action ended in a complete Franco-German victory. The battlefield was southeast of Abensberg and included clashes at Offenstetten, Biburg-Siegenburg, Rohr in Niederbayern, and Rottenburg an der Laaber. On the same day, the French garrison of Regensburg capitulated.
After Marshal Louis-Nicolas Davout's hard-fought victory at Battle of Teugen-Hausen the previous day, Napoleon determined to break through the Austrian defenses behind the Abens River. The emperor assembled a provisional corps consisting of part of Davout's corps plus cavalry and gave Marshal Jean Lannes command over it. Napoleon directed his German allies from the Kingdom of Bavaria and the Kingdom of Württemberg to attack across the Abens from the west, while Lannes thrust from the north toward Rohr. While the Austrians initially held the river line, Lannes' strike force crashed through Louis' defenses farther east. On the left, the Austrians managed to conduct a capable rear guard action, but during the day the French smashed their opponents' right flank and captured thousands of soldiers. The day ended with the Austrians barely holding onto a line behind the Große Laber River.
The next day, Hiller withdrew to Landshut, separating the left wing from the main army under Generalissimo Archduke Charles, Duke of Teschen near Regensburg (Ratisbon). The French surrender of Regensburg on 20 April allowed Charles' army a retreat route to the north bank of the Danube. The Battle of Landshut was fought on 21 April."
Battle of Abu Klea,"The Battle of Abu Klea, or the Battle of Abu Tulayh took place between 16 and 18 January 1885, at Abu Klea, Sudan, between the British Desert Column and Mahdist forces encamped near Abu Klea. The Desert Column, a force of approximately 1,400 soldiers, started from Korti, Sudan on 30 December 1884; the Desert Column's mission, in a joint effort titled ""The Gordon Relief Expedition"", was to march across the Bayuda Desert to the aid of General Charles George Gordon at Khartoum, Sudan, who was besieged there by Mahdist forces.
The place is generally known in British military records as Abu Klea, which arose as a contemporary British spelling of its Arabic name, 'Abu Tͅuleiħ (أَبُو طُلَيْح). The British commander Sir Herbert Stewart was mortally wounded during the battle."
Battle of Abukir (1799),"In the Battle of Abukir (or Aboukir or Abu Qir) Napoleon Bonaparte defeated Seid Mustafa Pasha's Ottoman army on 25 July 1799, during the French campaign in Egypt. It is considered the first pitched battle with this name, as there already had been a naval battle on 1 August 1798, the Battle of the Nile. (A second pitched battle followed on 8 March 1801.) No sooner had the French forces returned from a campaign to Syria, than the Ottoman forces were transported to Egypt by Sidney Smith's British fleet to put an end to French rule in Egypt.
Seid Mustafa Pasha was an experienced commander who had fought against the Russians. He knew that cavalry charges against the French squares were futile. So, he sought to avoid them by fortifying his beachhead with two defensive lines. From this beachhead Mustafa could carry out the invasion of Egypt. However, Napoleon immediately saw the flaw in the tactic as it meant that the Turks had nowhere to run if routed.
The French attacked the Ottoman positions and quickly broke through the first defensive line before it was fully completed. The second line, however, proved tougher to defeat and the French withdrew for a while. At this point, cavalry general Murat saw his opportunity and attacked with his cavalry, quickly routing the exposed Turks.
Murat's charge was so rapid that he burst inside Mustafa's tent and captured the Turkish commander, severing two of the Turk's fingers with his sabre. In return, Mustafa shot Murat in the jaw. Immediately, Murat was operated on and resumed his duties the next day.
The Turkish army fled in panic. Some Ottomans drowned trying to swim to the British ships two miles away from shore, while others fled to Abukir castle, but they surrendered shortly thereafter. The Turkish army was annihilated, French losses were under 1,000. News of the victory reached France before Napoleon arrived in October and this made him even more popular, an important asset considering the troubles brewing in the French Directory. This battle temporarily secured France's control over Egypt."
Battle of Aclea,"The Battle of Aclea occurred in 851 between the West Saxons led by Æthelwulf, King of Wessex and the Danish Vikings at an unidentified location in England (noted by near-contemporaries as being in Surrey). It resulted in a West Saxon victory.
Little is known about the battle and the most important source of information comes from the Anglo-Saxon Chronicle which recorded that:

three and a half hundred ships came into the mouth of the Thames and stormed Canterbury and London and put to flight Beorhtwulf, King of Mercia with his army, and then went south over the Thames into Surrey and King Æthelwulf and his son Æthelbald with the West Saxon army fought against them at Aclea, and there made the greatest slaughter of a heathen raiding-army that we have heard tell of up to the present day, and there took the victory.""
Aclea means Oak Field, as Asser explained. This could survive as Oakley or Ockley. Ockley is a village in Surrey that could potentially be a location for the battle, though the area known as Surrey has changed considerably in size and shape over the centuries. If the Vikings followed Stane Street (Chichester) south from London Bridge, the only crossing over the Thames into the area covered by modern-day Surrey during the early Medieval period, they would have come to the gap in the North Downs and passed through in the direct of Dorking. If the West Saxons were coming north along Stane Street then they could have met at Ockley.
Oakley, Hampshire is another potential location for the battle. Asser defines Surrey, rather vaguely, as ""a district which is situated on the southern bank of the River Thames, to the West of Kent"" - the River Thames running all the way from the east coast of England to west of Swindon. Though located within the modern-day borders of the county of Hampshire, rather than in Surrey, there is evidence to suggest that a now-forgotten battle had taken place near Oakley at some point, including numerous tumuli and several early Medieval skeletons buried underneath the floor of a local church. Anglo-Saxon jewellery associated with Æthelwulf has also been found only a few miles south-west of the village."
Battle of Actium,"The Battle of Actium was a naval battle fought between Octavian's maritime fleet, led by Marcus Agrippa, and the combined fleets of both Mark Antony and Cleopatra VII Philopator. The battle took place on 2 September 31 BC in the Ionian Sea, near the former Roman colony of Actium, Greece, and was the climax of over a decade of rivalry between Octavian and Antony.
In early 31 BC, the year of the battle, Antony and Cleopatra were temporarily stationed in Greece. Mark Antony possessed 500 ships and 70,000 infantry, and made his camp at Actium, and Octavian, with 400 ships and 80,000 infantry, arrived from the north and occupied Patrae and Corinth, where he managed to cut Antony's southward communications with Egypt (via the Peloponnese) with help from Marcus Agrippa. Octavian previously gained a preliminary victory in Greece, where his navy successfully ferried troops across the Adriatic Sea under the command of Marcus Agrippa. Octavian landed on mainland Greece, opposite of the island of Corcyra (modern Corfu) and proceeded south, on land.
Trapped on both land and sea, portions of Antony's army deserted and fled to Octavian's side (daily), and Octavian's forces became comfortable enough to make preparations for battle. Antony's fleet sailed through the bay of Actium on the western coast of Greece, in a desperate attempt to break free of the naval blockade. It was there that Antony's fleet faced the much larger fleet of smaller, more manoeuvrable ships under commanders Gaius Sosius and Agrippa. Antony and his remaining forces were spared only due to a last-ditch effort by Cleopatra's fleet that had been waiting nearby. Octavian pursued them and defeated their forces in Alexandria on 1 August 30 BC—after which Antony and Cleopatra committed suicide.
Octavian's victory enabled him to consolidate his power over Rome and its dominions. He adopted the title of Princeps (""first citizen""), and in 27 BC was awarded the title of Augustus (""revered"") by the Roman Senate. This became the name by which he was known in later times. As Augustus, he retained the trappings of a restored Republican leader, but historians generally view his consolidation of power and the adoption of these honorifics as the end of the Roman Republic and the beginning of the Roman Empire."
Battle of Ad Decimum,"The Battle of Ad Decimum took place on September 13, 533 between the armies of the Vandals, commanded by King Gelimer, and the Byzantine Empire, under the command of General Belisarius. This event and events in the following year are sometimes jointly referred to as the Battle of Carthage, one of several battles to bear that name. The Byzantine victory marked the beginning of the end for the Vandals and began the reconquest of the west under the Emperor Justinian I."
Battle of Adwa,"The Battle of Adwa (Amharic: የዐድዋ ጦርነት; Tigrinya: ውግእ ዓድዋ; Italian: battaglia di Adua, also spelled Adowa) was the climactic battle of the First Italo-Ethiopian War.  The Ethiopian forces defeated the Italian invading force on Sunday 1 March 1896, near the town of Adwa. The decisive victory thwarted the campaign of the Kingdom of Italy to expand its colonial empire in the Horn of Africa. By the end of the 19th century, European powers had carved up almost all of Africa after the Berlin Conference; only Ethiopia and Liberia still maintained their independence. Adwa became a pre-eminent symbol of pan-Africanism and secured Ethiopian sovereignty until the Second Italo-Ethiopian War forty years later."
